问题:石器时代的世界的名称是?,答案:尼斯
问题:料理“烤焦的虾子串烧”的效果是以下哪一个？,答案:石化3回合前后
问题:以下那些没有“气2回复”效果的是？,答案:生包心菜
问题:以下那些没有“气5回复”效果的是？,答案:绿色沙拉
问题:回答料理“豪华船生鱼片”的说明文。,答案:究极生鱼片
问题:料理“螃蟹味噌汤”的效果是以下哪个？,答案:气70回复(1体)
问题:下面哪一个没有“捕获率1UP ”的效果？,答案:橘子糖
问题:说明文为“跟料理铁人一样有所坚持的关东煮”的料理是哪一个？,答案:铁人关东煮
问题:大的海星和水分多的梨子能做成何种料理？,答案:海星梨
问题:以下没有“酒醉4回合前后”效果的料理是？,答案:甜的水果酒
问题:下列哪一个是在生日蛋糕的材料中是没有的？,答案:橡树实
问题:料理“海星的盐味串烧”的效果是以下哪一个？,答案:5回合左右酒醉
问题:红玉的手环的数值是以下的哪一个？,答案:攻+2防+2敏-2魅+1
问题:“充满原始风味的粽子”之称的是哪一种料理？,答案:原始粽子
问题:说明文为“里面有青蛙…”的料理是下面哪一种？,答案:青蛙手卷
问题:做三明治的时候那一种东西是绝对会被放进去的？,答案:橡树果
问题:下列那一种料理是不存在的？,答案:新鲜好吃的牛肉
问题:料理“跳跃青蛙”是由下列哪种材料所制造出来的？,答案:青蛙+油
问题:下列哪种料理没有回复气力22的效果?,答案:石烤地瓜
问题:回答卡鲁它那的村长所站位置的座标。（例→东0：南0 数字跟“:”用半形）,答案:东17:南20
问题:卡鲁它那的情报员现在几岁请选出正确的答案。,答案:17
问题:以下有火属性的宠物是？,答案:布伊比
问题:加加的蔬菜店有卖以下哪种东西？,答案:萨姆吉尔产的柿子
问题:格尔顿跟格尔格在前面和后面，那么奇拉顿在齐尔格尔顿上下左右的哪边呢？（提示:看相片簿吧！答案请用上下左右的一个字写出来）,答案:上
问题:加加的便利商店里，料理老师并没有告诉我们以下哪种东西？,答案:料理的说明
问题:在加加的便利商店内，圆的坐垫有几张？（请用半形数字回答）,答案:32
问题:能使玩家在被攻击时将攻击反射回去一次的是哪种精灵咒术?,答案:镜的精灵
问题:请正确回答能够改变战斗画面中全体团员（含宠物及敌人全体）属性为无的精灵咒术。,答案:调和的精灵
问题:请写出可以一次回复全体团员耐久力的精灵咒术？  ,答案:恩惠的精灵
问题:下面3个精灵之中属于非回复系咒术的是哪个？,答案:守护的精灵
问题:加加的道具屋有卖什么？,答案:阿昆尼斯Lv3鸣子
问题:美容师给玩家哪一种参数值的改变呢？,答案:魅力
问题:对着奇喀喀村长家大门时，站左侧的警备员是哥哥还是弟弟？,答案:弟弟
问题:塔姆塔姆的医生2年前曾经在哪个医院呢？,答案:萨姆吉尔
问题:用最棒的食材制作的纳豆名称为？,答案:特选纳豆
问题:下面哪种料理内有青蛙跟海藻？,答案:青蛙手卷
问题:下列哪个无法回复25气力？,答案:热肉汤
问题:捉迷藏少年里奥所持有的愿藏人偶是朝向左右哪一边呢？,答案:右
问题:到卡鲁它那上学的小孩子有几个人？（半形数字）,答案:5
